SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Kate Rommal,,John W A,Schooner,1872,"Milton, DE",12/25/187,1875,12,25,Sandy Hook W,,,,,Stranded,Wood,,120,32,11.4,338,,Philadelp,"Matanzas,","New York,",John W A,7,1,,"$12,000","$36,178",500 tons of sugar,,,N,,
Kate Smith,,B. Hilton,Bark,1864,Yarmouth,1/26/1871,1871,1,26,Little Egg Harbor N 5 mi,,,,,Stranded,,England,131.6,25.6,15,,404,Yarmouth,Spain,"New York, NY",,13,,9,,,Pigs of lead,,Y,N,Total Loss,
Katharine Jackson,,,Sailing ship,,,10/30/184,1848,10,30,Squam Beach,,,,,Stranded,Wood,US,,,,456,,,Rotterda,"New York,",Stafford,,156,0,,,,,Y,N,Total loss,
Katherine & Mary,,Abraham,Scow,1917,Milwauke,########,1955,5,28,NJ Coast E,,,38 30N,74 6W,Foundere,Wood,,104.3,14.9,8.6,75,31,"Norfolk, VA",,,,,,,,,,,Y,N,#235624; Total Loss,
Katherine Dempsey,,Dempsey,Barge,1909,"Elkton, M",4/7/1910,1910,4,7,Spring Lake,,,,,Waterlog,Wood,US,,,,473,435,Philadelp,"Suffolk, V","New York,",William Fi,3,,0,"$10,000","$10,000",Lumber,Spring Lak,N,N,#163727; Refloated,
Katherine Dempsey,,Dempsey,Barge,1909,"Elkton, M",########,1917,12,8,Beach Haven,,,,,Foundere,Wood,US,,,,473,435,Philadelp,"New York,",Baltimore,B T Masse,3,,0,"$25,000",,900 ton sulphur,,N,N,"#163727; Refloated; Towed by ""O L Hallenbeck""",
Kathleen,,Standard,Motor vessel,,,########,1931,2,21,Sea Isle City,,,,,Stranded,,,39.5,12.6,4.5,13,,"New York, NY",,,,,,,,,,,,N,#227221,
Kathleen W,,,Steamshi,1895,,2/1/1911,1911,2,1,"Jersey City, NJ",,,,,Explosion,,,,,,59,,"Jersey City, NJ",,,,6,,6,,,,,,N,#161069,
Kathy,Yanks,Rita Sant,Canal boat,,,########,1994,6,22,Ocean Cit,,,39-10-719,74-33-259,Pushed o,Steel,US,32,13,5,,,NJ AR,OC,20,,,,,,,,,Y,Y,"Sponsor - Ocean City Marlin & Tuna Club, et al",
Katie,,,Catboat,,,########,1903,10,5,Little Beach E .75 mi,,,,,Damaged; Abandoned,,,,,,,,"Atlantic City, NJ",,,,5,,,$100,,,Little Beach,,N,,
Katie C Rich,,,Schooner,,,3/29/1874,1874,3,29,Brigantin,,,39-24-00,74-18-00,Grounded,,,,,,425,,,,,,,,,,,,,,N,,
Katie G Robinson,,,Schooner,1873,Mays Lan,7/10/1894,1894,7,10,Absecon I,,,39-24-00,74-18-00,Stranded,,,116.4,29.6,9.3,299.4,284.43,Somers P,Kennebec,Atlantic Ci,Robert,5,,0,"$4,000","$1,000",Ice,,N,N,#14296; Refloated,
Katie Louisa,,,Sloop,1884,"Brooklyn,",########,1903,9,18,"Highlands, NJ",,,,,Foundered,,,29.7,13.5,4.4,9,9,"New York, NY",,,,,,,,,,,Y,N,#14469; Total loss,
Katie Ranger,,,Schooner,1866,"Madison,",12/18/188,1887,12,18,Absecon,,,,,Foundered,,,112,30,9,241.19,239.4,"New Haven, CT",,,,,,,,,,,,N,#14070,
Katleen Riggin,,William H,Motor ves,1929,"Leesburg,",########,1971,3,21,Wildwood SE 3 mi,,,,,Burned,Wood,,80.7,22.1,6.4,66,55,"Philadelphia, PA",,,,2,,,,,,,,N,#228197,
Katrina,,,Bark,,,########,1912,10,16,Long Beach Island,,,,,Burned,,Italy,,,,,,,"Montevideo, SA",,,,,,,,Bones,,Y,N,Crew saved,
Katy,,,,,,3/12/1778,1778,3,12,"New Castle, DE",,,,,Burned by Americans,,,,,,,,,,,,,,,,,,,Y,N,,
Katy Did,,,Sloop,1876,City Islan,11/12/0188,1884,11,12,Barnegat Inlet North side,,,,,Stranded,,,37.5,13.5,3.6,10,9.5,Perth Am,"Seabright,","Barnegat,",Johnson,3,,0,$600,,In ballast,Barnegat,N,N,#14346; Refloated,
Katy Smith,,,Steamship,,,12/18/187,1878,12,18,"Jersey City, NJ",,,,,Foundered,,,,,,9,,"New York,",N Y Harbor,,,,,1,,,In ballast,,,N,,
Kehuka,,,Tanker,,,########,1920,7,28,Avalon E 3,,,39-04-24,74-39-54,Exploded,,,,,,,,,,,,,,,,,,,Y,N,Sank,
Kelso,Antonina,Harry H Ta,Motor ves,1927,Damarisc,########,1968,11,18,Hereford I,,,38-59-05,74-46-09,Stranded,Wood,,66.6,16.3,7.7,45,22,"Philadelphia, PA",,Fishing service,,,,,,,,,Y,N,"#227040; Total loss; Formerly ""Antonina""",
Kennebec (1917),,Seaboard,Schooner,1883,"Bath, ME",2/5/1917,1917,2,5,Sandy Hook E 20 mi,,,,,Foundere,Wood,,237.7,43.3,27,2048,1850,"Boston, M","Norfolk, V","Providence, RI",,6,,0,,,Coal,,,Y,#14422,
Kennebec (1921),,Chesbrou,Steamshi,1901,Port Huro,########,1921,6,18,Barnegat,,,39-26-00,73-07-00,Foundere,Steel,,243.5,43.2,24,2183,1913,,"New York,","Houston, TX",,28,,0,,,Iron plates; Freight service,,,N,#161178,See scrapbooks 38 - 43 - Purple Misc
Kenneth,,Stanley,Brig Half,1862,Shelbour,10/29/186,1864,10,29,Highlands SE 40 mi,,,,,"Collision w/ ""Amelia",,Canada,96.6,23,9.2,125,,"Halifax, N","Jacmel, H","New York,",Stanley,,,0,,,Logwood,,,N,,
Kenneth E Healing,,,Motor ves,1927,,########,1950,5,19,South Amboy Coal Docks,,,,,Burned,,,,,,180,,,,,,,,,,,,,,N,Burned at dock,
Kenny Girls,,,Barge,1903,,########,1941,5,31,"Jersey City, NJ",,,,,Burned,,,,,,388,,,,,,,,,,,,,,N,"Also see ""Robert C Bonham"" & ""H L Parnell""",
Kenosha,Madagasc,F B Chese,Steamshi,1894,West Bay,########,1909,7,24,Fire Island Inlet SE 10 mi,,,,,Foundere,Wood,US,243,37,21,1677,,Marquett,Baltimore,"Boston, MA",,18,,0,,,Coal,,Y,Y,"#92598; Crew rescued by ""Howard""",
Kent,Oscar A Thompson,,Sidewhee,1839,,11/25/185,1857,11,25,"Gloucester Point, PA",,,,,Burned,,,,,,142,,,,,,,,,,,,,,N,"Renamed ""Oscar A Thompson"" 1856",
Kentucky,,"Welsh, Ca",Brig,1855,"Searsport,",7/15/1863,1863,7,15,Sandy Hook,,,,,Collision,Wood,,110.3,26.3,10.2,260,,"New York,","Cardenas, Mexico",,,,,,,,Sugar,,N,N,#1634; Refloated,
Kildare,,,,,,1768,1768,,,Delaware River above Ponce Creek,,,,,,,,,,,,,,Barbados,Philadelp,Nicholson,,,,,,,,,N,,
Kiley B,,,Fishing boat,,,Jun-83,1983,6,,Sea Girt A,,,40-06-540,73-56-827,Opened s,Wood,US,75,,,,,NJ AR,SG,10,,,,,,,,,Y,Y,Originally a scallop boat,
Kill Von Kull,,,Ferry boat,1858,,3/3/1889,1869,3,3,"Elizabethport, NJ",,,,,Burned,,,,,,1191,,,,,,,,,,,,,,N,,
King,,,Schooner,,,12/1846,1846,12,,Egg Harbor,,,,,Capsized in gale,,,,,,,,"Taunton,","New York,","Taunton,",Cook,,,,,,,,,N,,
King Cobr,Summers,Cobra Mar,Tug,1887,Philadelp,1/3/1979,1979,1,3,Atlantic City E,,,,,Lost at se,Steel,,66.6,16,7.2,52,26,New Have,Greenwic,"Camden,",Michael C,4,,4,,,None,,Y,Y,#116141; Found by divers 1981,
King Philip,,,Sidewhee,1832,,11/16/186,1867,11,16,"Jersey City, NJ",,,,,Burned,,,,,,169,,,,,,,,,,,,,,N,,
Kingston,,,Sloop,,,9/8/1767,1767,9,8,Cape May,,,,,Stranded,,,,,,,,,,,Graham,,,,,,,,Y,N,Wrecked,
Kingston Ceylonite,,,,,,########,1942,6,17,,,,36-49-39,75-52-09 W,,,,,,,,,,,,,,,,,,,,,N,,
Kirkland,,Lynch,Bark,1850,"Guysboro,",9/29/1856,1856,9,29,Absecon Inlet,,,,,Stranded,,,,,10,160,,"St John, N",Rio de Jan,New Orle,Lynch,,,,,,,,,N,,
Kirkwood,,,Bark,,,2/22/1851,1851,2,22,Brigantine,,,39-24-30,74-21-00,Grounded,,,,,,,,,South America,,S Martin,12,,,,,Coffee,,,N,Mistook lights of hotel for ship,
Kit Carson,,J & L N Pai,Schooner,1860,"Essex, MA",4/4/1883,1883,4,4,Little Egg,,,`,,"Collision w/ ""Manha",,US,81,23.4,8,94,,Provincet,Pawtuxet,"Boston, M",Rich,,,2,,,Oysters,,Y,N,Total loss,
Kitty Ann,,,Sloop,,,6/1825,1825,6,,Cape May S,,,,,Stranded in gale,,,,,,,,,,,,,,,,,,,,N,,
Knickerbocker (1887,,Samuel H,Steamshi,1873,Wilmingt,2/8/1887,1887,2,8,Scotland Lightship S 7 mi,,,,,"Collision w/ ""Leocadia""",,,256,33.6,22.6,1140,,"New York,",New Orle,"New York,",Kemble,,,,,,,,N,N,#14289; Made NY w/o assistance,
Knickerbocker (1915),,,Schooner,1893,"Bath, ME",########,1915,10,19,Barnegat Inlet N,,,,,Foundered,,,262.1,51.1,23.6,2381,2366,"Perth Amboy, NJ",,,,4,,3,,,,,,N,#47145,
KolindiII,,,Sloop,,,########,1972,5,20,Brigantine,,,,,In distress,,,41,,,,,,,,,,,,,,,,N,N,"Morgan yacht; See ""Five Sloops""",
Komsomolets Kirgizii,,,,,,########,1987,3,14,NJ Coast E 210 mi,,,,,Sank in heavy seas,,,482,,,,10292,Leningrad,"Halifax, N",Cuba,,37,,0,,,Flour,,Y,N,,
Kong Carl,,A & F Smit,Bark,1871,Tud Stran,3/30/1877,1877,3,30,Sandy Hook SE 20 mi,,,,,"Collision w/ ""Gazell",,Norway,125.6,30.9,16.4,513,,Tud Stran,"Liverpool,","New York,",D H Hendrickson,,,,,,,,N,N,Damaged; Made way to NY,
Kong Thryme,,,Brig,,,1/1856,1856,1,,Barnegat I,,,39-44-46,74-05-20,Stranded,,,,,,,,,,,,5,,0,,,,,,N,,
Kraljevica,,V Turkovi,Bark,1870,"Pastore, A",2/10/1886,1886,2,10,Barnegat Shoal S,,,,,Wrecked,Wood,Austria,152.5,29.5,18,719,,"Fiume, Au",Marseille,"New York,",Sverljuga,14,,8,"$30,000","$25,000",Salt,"Barnegat,",Y,Y,Total loss; 3 surfmen lost in rescue,
Kristine M,,Martin M,Trawler,1944,Atlantic Ci,########,1950,11,25,Atlantic Ci,,,39-09-30,74-22-00,Foundered in hurric,,US,52.2,16.2,7.6,42,,"Philadelphia, PA",,Fishing se,Martin M,5,,5,,,,,Y,N,#246747; Total loss,
L A Plummer,,,Schooner,1882,"Bath, ME",########,1915,3,11,Little Egg Harbor shoal,,,,,Stranded,,,129.7,32.2,12.4,394,336,"New Bedford, MA",,,,6,,0,"$7,000","$5,500",Phosphat,"Little Egg,",N,N,#140551; Refloated,
L and A Babcock (1880),,,Schooner,1866,"Absecon,",4/18/1880,1880,4,18,Townsends Inlet North bar,,,,,Stranded,,,,,,255,,"Absecon,","Gardiner,",Philadelp,Smith,7,,0,"$5,000",$400,Ice,,N,N,#14742; Refloated,
L and A Babcock (1884),,,Schooner,1866,"Absecon,",6/26/1884,1884,6,26,Forked River LSS N 1 mi,,,,,Stranded,,,,,,255,,"Absecon,",Philadelp,"Boston, M",Babcock,7,,5,"$8,000","$2,000",Coal,Forked Ri,Y,N,#14742; Broke up; Total loss,
L Baldwin,,,Brig,,,11/22/185,1851,11,22,Brigantine Shoal,,,,,Stranded,,,,,,,,,"Savannah,","New York, NY",,11,,0,,,,Atlantic City,,N,,
L C Regina,,,Motor ves,1916,,########,1920,1,16,Bayonne,,,,,Burned,,,,,,9,,,,,,2,,0,,,,,,N,#215817,
L C Wallace (1877),,,Sloop,,,11/18/187,1877,11,18,Absecon bar,,,,,Stranded,,,,,,16.61,,"Absecon,","New York,","Absecon, NJ",,3,,0,"$1,500",$60,Coal,Atlantic Ci,N,N,#140166; Refloated,
L C Wallace (1878),,,Sloop,,,3/3/1878,1878,3,3,Sandy Hook LSSS 600 yds,,,,,Stranded,,,,,,16.61,,"Absecon,","Absecon,","New York,",Somers,3,,0,"$2,000",$400,Oysters &,Sandy Ho,N,N,#140166; Refloated,
L C Wallace (1882),,,Sloop,,,11/3/1882,1882,11,3,Atlantic Ci,,,39-23-00,74-23-30,Stranded,,,,,,16.61,,"Absecon,","Absecon,","New York,",Higbee,2,,0,"$1,000",$25,Oysters &,Atlantic Ci,N,N,#140166; Refloated undamaged,
L H Nickerson,,,Schooner,,,1838 - 187,1860,,,Squan Inlet S 6.5 mi,,,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
L Herbert Taft,,Elliot,Schooner,1901,Thomasto,########,1912,12,19,Sandy Hook Romer Shoal,,,,,Stranded,Wood,US,221,42.7,20,1492,1294,Thomasto,"New York,","Havana, C",Gales,12,,0,"$35,000","$24,000",Cement,,Y,N,#141766; Total loss,
L N Lovell,,,Schooner,1846,Kensingto,11/5/1877,1877,11,5,Egg Harbor NW 6 mi,,,,,"Collision w/ ""John Gibson""",,,,,,162,,"Fall River,","Fall River,",Philadelp,J R Jay,6,,0,,,,,,N,#15567,
L Q C Wishart,,,Schooner,1867,Greenwic,########,1910,12,5,Little Bea,,,39-23-00,74-23-30,Stranded,Wood,US,115.2,29.5,9.1,238,195,"New York,",James Riv,"New York, NY",,6,,0,"$4,000","$2,000",Railroad T,Little Bea,Y,N,#154440; Total loss,
L S Knight,,,Schooner,,,8/29/1869,1869,8,29,Barnegat E 60 mi,,,,,Abandoned,,,,,,,,"Camden,",Philadelp,"Salem, MA",,,,,,,Coal,,N,N,"""Fannie Blake"" crew took ship to Newport",
L S Levering,,,Schooner,,,11/24/187,1872,11,24,Cape May Beach,,,,,Stranded,,,,,,300,,Wilmingt,"Somerset,",Philadelp,Edwin Cor,7,,0,"$18,000",,None,Cape May,N,N,#15290; Refloated,
L T Whitmore,,,Schooner,1874,"Rockland,",3/26/1881,1881,3,26,Brigantine Shoal,,,,,Stranded in Nor'easter,,,,,,295.22,280.46,"Rockland,",Alexandri,"New York, NY",,7,1,,,,Corn,Atlantic Ci,N,N,#15980; Refloated,
L-2,,U S Navy,Blimp,1940,,6/8/1942,1942,6,8,Manasquan Inlet SE 5.5 mi,,,,,"Collision w/ ""G-1""",,,149,39,,,,,,,,12,,12,,,,,Y,N,Total loss,"""Lady Mary"" Book of articles"
La Fauvette,,,Bark,,,4/27/1849,1849,4,27,Squan Beach,,,,,Stranded,,France,,,,,,,Port-Ven,"New York, NY",,,,,,,,,Y,N,Total loss,Scrapbook #15
La France,,Comp Ge,Rigged st,1865,St Nazaire,2/25/1875,1875,2,25,Monmouth Beach N .5 mi,,,,,Grounded,Iron,,394.9,44.1,28.7,4648,,"La Havre,","La Havre,","New York, NY",,150,,0,,,General,,,N,,
La Plata,,,Bark,,,2/13/1845,1845,2,13,Sandy Hook,,,,,Grounded in gale,,,,,,,,"Philadelphia, PA",,,Michaels,,,,,,,,,N,,
La Tigre,,,Brig,,,1/11/1820,1820,1,11,Barnegat outer shoal,,,,,Stranded,,Spain,,,,,,"Cadiz, Spa",Cape May,"New York,",Oliver Rus,8,,8,,,,,N,N,"Seized from privateer ""Constitution""",
Lady Beatrice,,Henry Aca,Yacht gas,1956,Englewoo,########,1962,10,5,Sandy Hook,,,,,Burned,,,45.1,12.4,7.4,31,24,"New York, NY",,,,,,,,,,,Y,N,#272558; Total loss,
Lady Betty,,,Motor ves,1912,,########,1921,8,25,"Tuckerton, NJ",,,,,Burned,,,,,,12,,,,,,0,,0,,,,,,N,#212088,See scrapbooks 38 - 43 - Purple Misc
Lady Ellen (1872),,,Schooner,,,12/23/187,1872,12,23,Great Egg,,,39-17-30,74-32-30,Stranded,,,,,,,,,,,,,,,,,In ballast,,,N,,
Lady Ellen (1878),,,Schooner,1856,Dorcheste,11/1/1878,1878,11,1,Barnegat Shoal South point,,,,,Grounded,,,,,,218.24,207.33,"Providence, RI",,,,5,,0,,,,Barnegat,N,N,#14741; Refloated,
Lady Linda,,,Fishing boat,,,9/3/1993,1993,9,3,Brigantine E 15 mi,,,,,Flooded,Steel,US,83,,,,,,,,,7,,1,,,,,Y,N,,
Lady Mary,,Smith & S,Scalloper,1969,,########,2009,3,24,Cape May SE 65 mi,,,,,Flooded d,Steel,US,71.2,21.2,12,105,71,Cape May,Cape May,Scallop fis,Royal Smi,7,,6,,,"18,000 lbs",USCG Atla,Y,Y,IMO #7043207; USCG #520834,
Lady Napier,,,Brigantine,1902,Georgeto,########,1907,11,30,Sandy Hook point,,,,,Stranded,Wood,England,113.8,27,11.7,245,,Georgeto,Demerara,"St John, NB",,8,,0,"$12,000","$6,000",300 ton sc,Sandy Ho,N,N,#107765; Refloated,
Lady Octavia,,G Adams L,Bark,1854,Workingt,11/8/1879,1879,11,8,Absecon,,,,,"Collision w/ ""Champ",,England,200.3,36,22.3,1172,,"Greenwich, England",,,,,,,,,,,,N,#6104,
Lady Seymour,,Shaw,Brig,1852,"Pogwash,",12/1856,1856,12,,Highlands E 40 mi,,,,,Leaking; I,Wood,,,,11,138,,"Halifax, N","New York,","Halifax, N",Shaw,,,,,,,,N,N,Towed to NY,
Laita,,Eirick's Do,Clam dredge,,,########,1986,10,16,Cape May,,,38-50-860,74-42-965,Opened s,Steel,US,120,24,23,,,NJ AR,CM,3,,,,,,,,,Y,Y,Sponsor - Fisherman Magazine,
Lake Frampton,,,Steamshi,1918,"Lorain, OH",########,1920,7,12,Atlantic City,,,,,Collision,Steel,US,251,43.6,26.2,2622,1621,Cleveland,"New York,","Norfolk, VA",,32,,2,,,,,,Y,#217288,
Lake George,,,Sloop,,,10/25/175,1756,10,25,Barnegat,,,,,Stranded,,,,,,,,"New York,","New York,",Philadelp,Robinson Hicks,,,,,,Sugar,,Y,N,#1454; Ship lost; Cargo saved,
L'Amerique,,General T,Steamshi,1865,St Nazaire,1/7/1877,1877,1,7,"Seabright, NJ",,,,,Stranded,Iron,France,400,44,29,4500,,"La Havre,","La Havre,","New York,",Ponzolz,,192,3,"$200,000","$400,000",General,Sta #3 & 4,N,Y,"Partial loss, Refloated",
Lamoriciere,,,Bark,,,5/6/1879,1879,5,6,Sandy Hook Lightship,,,,,Collision w/ Sandy H,,France,,,,,,,"New York,",Marseille,Canasse,,,,,,,,N,N,Towed back to NY,
Lana Carol,,Gulf Boat,Scalloper,1973,Pascagoul,########,1976,10,31,Manasqua,,,39-59.509,73-52.470,Foundere,Steel,US,71.7,21,11.1,104,70,Galvaston,Manasqua,Fishing se,George Jo,4,,0,,,Scallops,,Y,Y,#546108; Sank; Total loss,
Lancet,,,Brig,,,5/4/1843,1843,5,4,Absecon Inlet South bar,,,,,Grounded,,,,,,,,Charlesto,Charlesto,"New York,",J Kruse,,,,,,Cotton,,Y,N,Vessel lost,
Landseer (1885),,M Walen,Schooner,1875,"Essex, MA",4/29/1885,1885,4,29,New Jersey coast,,,,,Damaged in gale,,,82.3,23.7,8.6,100,,"Gloucester, MA",,Fishing se,James McDonald,,,,,,130 bbl mackeral,,N,N,#140147; Lost deck boat & fish,
Landseer (1907),,,Schooner,1874,Newbury,########,1907,3,13,Absecon,,,,,Foundere,Wood,,200.5,39.1,24.2,1372,1260,Perth Am,Newport,"Boston, MA",,4,,0,,,Coal,,,N,#140065,
Larnie B Shaw (1932),,Larnie B S,Tug,1899,Wilmingt,########,1932,2,15,Cape May Jetty,,,,,Foundere,Steel,US,82.1,16.8,6.2,79,54,Philadelp,Philadelp,"New York,",John B Jo,7,,7,"$22,000",,None,,,N,#204298,
Larnie B S,L B Shaw,Maurice B,Barge,1908,"Noank, CT",7/1/1939,1939,7,1,Cape May,,,38-54-54,74-23-00,Struck sub,Wood,US,195.6,36,17.6,967,,,"New York,","Philadelphia, PA",,3,,0,,,Scrap iron,,Y,N,#205480; Total loss,
Laura Brigman,,,Schooner,1866,Waldobor,6/19/1883,1883,6,19,Asbury Park,,,,,Stranded in fog,,,117,31,11,330,,St George,Baltimore,"Fall River,",Hart,7,,0,"$8,000","$1,500",Gas coal,,Y,Y,#15151; Total loss,
Laura V,,,Sloop,1889,Patchogu,########,1903,3,28,Island Beach 3/4 mi SE Chadwic,,,,,Stranded,Wood,,31.5,12.9,3.6,7,7,"Newark,",Little Egg,"New York,",Wilbert,2,,0,$245,,None,,Y,N,#140997; Total loss,
Lauretta (1848),,,Brig,,,6/29/1848,1848,6,29,Absecon Beach,,,,,Stranded,,,,,,149.34,,,Cienfueg,"New York, NY",,7,2,,"$8,000",,,,,N,,
Lauretta (1856),,,Brig,,,1/4/1856,1856,1,4,Sandy Hook,,,,,Stranded; Leaking,,,,,,,,,"New York,","Aspinwall,PA",,,,,,,,,,N,,
Lavinia Campbell,,,Schooner,1883,Kennebu,9/3/1901,1901,9,3,Overfalls 14 foot Beach,,,,,Collision,Wood,,175.9,37,17.1,733,672,Greenpor,"Boston, M","Philadelphia, PA",,,,,,,,,Y,N,#140636; Capsized; Total loss,
Lawrence (1779),,,Schooner,,,8/20/1779,1779,8,20,Absecon Beach,,,,,Stranded,,,,,,,,,,,,,,,,,20 hogshead rum;80 pieces lin,,,N,,
Lawrence (1863),,Ryder & H,Bark,1860,East Bosto,3/20/1863,1863,3,20,Pecks Bea,,,39-14-40,74-36-50,Wrecked,Wood,,,,14,479,,"Boston, M","Messina,","New York, NY",,,,,,,Oranges & lemons,,Y,N,Total loss,
Lawrence N McKenzie,,,Schooner,1883,"Essex, MA",3/21/1890,1890,3,21,Cedar Creek LSS S 1 mi,,,,,Wrecked,Wood,,98.2,24.4,9.5,154,,Provincet,Puerto Ric,"New York,",McKenzie,8,,0,"$9,000","$2,000",Oranges,Cedar Cre,Y,N,Total loss,
Lea,,Russell W,Motor ves,1898,"Yonkers,",########,1944,11,5,Cape May Point,,,,,Foundered,,,41.7,9.4,4.1,12,9,"Philadelphia, PA",,,,,,,,,,,Y,N,Total loss,
Leader (1854),,,Sloop,,,10/4/1854,1854,10,4,Sandy Hook Horseshooe Cove,,,,,Explosion after fire,,,,,,,,,"New York,","Shrewsbury, NJ",,,,0,,,Limes and 3 kegs powder,,,N,,
Leader (1908),,,Steamshi,1882,,########,1908,12,11,"Old Mans Creek, NJ",,,,,Burned,,,,,,26,,,,,,4,,0,,,,,,N,#140507,
Lehigh Valley R R Barge,,,Barge,,,########,1937,9,15,"Jersey City, NJ",,,,,Sank,,,,,,,,,,,,,,,,,British flour,,Y,N,Possible sabatage,
Lehman Blew,,Jeremiah,Schooner,1867,Bridgeton,6/25/1886,1886,6,25,Barnegat Light SE 15 mi,,,,,Collision,Wood,US,113,29.4,9,274.87,261.13,"Camden,","Newark,",Baltimore,Charles P,6,,0,"$3,000","$10,000",360 ton coal,,N,N,#15184; Slight damage,
Lejok (1864),,W H Black,Schooner,1851,"Ellsworth,",10/1/1864,1864,10,1,New Jersey coast,,,,,Wrecked,Wood,,80.6,24.3,8.3,162,,"Ellsworth,",Philadelp,"Boston, MA",,,,,,,,,Y,N,"Total loss; Crew rescued by ""Moses Bramball""",
Lejok (1906),,,Schooner,1901,Millbridg,1906,1906,,,Highland Light,,,,,Collision; Abandoned,,,134.6,32,10.6,371,279,"Ellsworth, ME",,,,6,,0,,,,,Y,N,Sank,
Lemuel B,Deepwat,Eastern G,Freighter,1917,"Camden,",########,1942,3,14,Atlantic Ci,,,39-18-24,74-16-03,Torpedoed by U-404,,US,437.2,63.7,33.7,7610,4787,"Boston, MA",,,Gardner F,34,,20,,,,,Y,Y,"War loss; Survivors rescued by ""James E Jones""",
Lemuel Hall,,L Hall,Schooner,1877,Kennebu,2/19/1887,1887,2,19,Sandy Hook Romer Shoal,,,,,Stranded,,,147,35,15,225,,"Fall River,",Baltimore,Providenc,Sprague,,,,,,700 ton coal,,Y,N,#15855; Total loss,
Lena Breed,,B H Jackso,Schooner,1872,"Milton, DE",10/8/1886,1886,10,8,"Highlands, NJ",,,,,Distress in Nor'easter,,,,,,217,206.11,Philadelp,Wilcox La,"New York,",B H Jackso,4,,0,"$6,000","$2,000",320 ton Railroad ties,,N,N,#15824,
Lena G Bateman,,,,1883,,########,1933,3,23,,,,,,Stranded,,,,,,14,,,,,,2,,0,,,,,,N,#140672,
Lena M Cottingham,,,Schooner,1875,"Seaford,",12/17/188,1887,12,17,Harvey Cedars SSW 1.5 mi,,,,,Grounded,,,113.8,31,8.5,210,200.34,"New York,","Suffolk, V","New York,",Campbell,6,,0,"$5,000",$800,Wood,Harvey Ce,Y,N,#140089; Broke up; Total loss,
Lena Thurlow,,J S Winslo,Brig Half,1866,Pembrok,4/20/1877,1877,4,20,Cape May,,,,,Grounded,,,116,38,16,382,,"Portland,","Cardenas,","Philadelphia, PA",,,,,,,,,N,N,#15238; Refloated,
Leocadia,,Meyer & S,Bark,1862,"Motzen, G",2/8/1887,1887,2,8,Scotland Lightship S 7 mi,,,,,"Collision w/ ""Knicke",,Germany,150.9,32.1,20.7,799,,"Bremen,","Hamburg,","New York,",Jno Stohff,,,,,,,,N,N,Partial damage,
Leon Walter,,Saffron Br,Fishing bo,1953,St Augusti,########,1964,3,23,Manasqua,,,40-07-00,73-57-02,Collision,Iron,,67.7,18.9,7.9,75,33,"Philadelphia, PA",,,Richard Pr,3,,0,,,,,Y,N,#266289; Total loss,
Leona,Sabine,C H Mallor,Steamshi,1889,"Chester, P",5/9/1897,1897,5,9,Off Delaware Capes,,,,,Fire,Steel,US,314,46.2,20.3,3329,2331,"New York,","New York,",Galveston,James Wilder,,,13,,,General,,N,N,#147027;,"Assisted by ""City of Augusta"""
Leontine,,,,,,12/3/1839,1839,12,3,Cape May Light,,,,,Grounded in storm,,,,,,,,,Richmond,"New York, NY",,,,0,,,,,,N,,
Lephenstrath,,J Kerr,Ship,1860,Dumbarto,2/5/1872,1872,2,5,Highlands SE 80 mi,,,,,Grounded,,England,154.9,29.8,19.3,623,,"Greenock, Scotland",,,James Robertson,,,1,,,,,N,N,Partial loss,
Lester A Lewis (1889),,,Schooner,,,3/30/1889,1889,3,30,"Long Branch, NJ",,,,,Unknown,,,,,,,,,,,,,,,,,,,,N,,
Lester A Lewis (1895),,,Schooner,,,4/20/1895,1895,4,20,Sandy Hook Romer Shoal,,,,,Stranded,,,,,,,250,"Bangor, M","Norfolk, V","New York,",Crosby,6,,0,"$5,000","$3,000",Lumber,Sandy Ho,N,N,Refloated; Badly damaged,
Levant,,,Schooner,1853,,12/12/0184,1840,12,12,Little Egg Inlet N 7 mi,,,,,Stranded,,,,,,350,,"New York,",St Barts,"New York, NY",,,,0,,,,,Y,N,Broke up; Total loss,
Leviathon,,,Tug steam,1853,"New York,",3/20/1856,1856,3,20,Sandy Hook Light,,,,,Burned,,,,,,537,,"New York, NY",,,,2,,0,,,,,Y,N,Total loss,
Levin's Return,,,,,,3/17/1838,1838,3,17,,,,,,Grounded,,,,,,,,,,"Philadelphia, PA",,,,,,,,,,N,,Scrapbook #15
Levuka,,B Smith et,Bark,1884,Courtney,4/4/1887,1887,4,4,Bay Head LSS S 1 mi,,,,,Stranded,Wood,England,191,39.6,24,1425,,"Windsor,","London, E","New York,",T H Harris,22,,0,"$35,000","$20,000","Iron, cem",Bay Head,N,N,#85450; Sa,See scrapbooks 38 - 43 - Purple Misc
